,Celltype,experiment,biosample (isoreplicate),files
81,K562,H3K9ac,ENCBS674MPN (rep. 2),"ENCFF505NMT, ENCFF650QTM"
82,K562,H4K20me1,ENCBS639AAA (rep. 1),"ENCFF255QRL, ENCFF091XLR"
83,K562,H4K20me1,ENCBS674MPN (rep. 2),"ENCFF923YUN, ENCFF006AYV"
84,K562,H3K9me3,ENCBS639AAA (rep. 1),"ENCFF104THG, ENCFF103IHG"
85,K562,H3K9me3,ENCBS674MPN (rep. 2),"ENCFF155UQU, ENCFF600IBI"
86,K562,H3K27ac,ENCBS639AAA (rep. 1),"ENCFF121RHF, ENCFF977KGH"
87,K562,H3K27ac,ENCBS674MPN (rep. 2),"ENCFF907MNY, ENCFF745TSK"
88,K562,H2AFZ,ENCBS639AAA (rep. 1),"ENCFF874SMO, ENCFF242WQK"
89,K562,H2AFZ,ENCBS674MPN (rep. 2),"ENCFF007YZT, ENCFF964BCA"
90,K562,H3K36me3,ENCBS639AAA (rep. 1),"ENCFF880HKV, ENCFF782UNG"
91,K562,H3K36me3,ENCBS674MPN (rep. 2),"ENCFF272JVI, ENCFF860PQP"
92,HeLa-S3,H3K27me3,ENCBS075PNA (rep. 1),"ENCFF299WXR, ENCFF971CNR"
93,HeLa-S3,H3K27me3,ENCBS655ARO (rep. 2),"ENCFF620CCL, ENCFF837NDL"
94,HeLa-S3,H3K4me2,ENCBS075PNA (rep. 1),"ENCFF622IIB, ENCFF375VEB"
95,HeLa-S3,H3K4me2,ENCBS655ARO (rep. 2),"ENCFF706FSX, ENCFF146XSE"
96,HeLa-S3,H3K4me3,ENCBS075PNA (rep. 1),"ENCFF300IWJ, ENCFF532TVQ"
97,HeLa-S3,H3K4me3,ENCBS655ARO (rep. 2),"ENCFF766LEF, ENCFF933NWW"
98,HeLa-S3,H3K79me2,ENCBS075PNA (rep. 1),"ENCFF616FAT, ENCFF976XPV"
99,HeLa-S3,H3K79me2,ENCBS655ARO (rep. 2),"ENCFF656YCM, ENCFF418AXA"
100,HeLa-S3,H3K4me1,ENCBS075PNA (rep. 1),"ENCFF826OLG, ENCFF554WAD"
101,HeLa-S3,H3K4me1,ENCBS655ARO (rep. 2),"ENCFF712AAP, ENCFF257YVT"
102,HeLa-S3,H3K9ac,ENCBS075PNA (rep. 1),"ENCFF113FCH, ENCFF753SWH"
103,HeLa-S3,H3K9ac,ENCBS655ARO (rep. 2),"ENCFF596XSW, ENCFF995MCG"
104,HeLa-S3,H4K20me1,ENCBS075PNA (rep. 1),"ENCFF278FTJ, ENCFF776IYG"
105,HeLa-S3,H4K20me1,ENCBS655ARO (rep. 2),"ENCFF310NWI, ENCFF002OOC"
106,HeLa-S3,H3K9me3,ENCBS075PNA (rep. 1),"ENCFF183EDU, ENCFF746UJB"
107,HeLa-S3,H3K9me3,ENCBS655ARO (rep. 2),"ENCFF520XFF, ENCFF629AAP"
108,HeLa-S3,H3K27ac,ENCBS075PNA (rep. 1),"ENCFF609ZAE, ENCFF010QGR"
109,HeLa-S3,H3K27ac,ENCBS655ARO (rep. 2),"ENCFF711QAI, ENCFF855XCJ"
110,HeLa-S3,H2AFZ,ENCBS075PNA (rep. 1),"ENCFF650RBB, ENCFF423XMI"
111,HeLa-S3,H2AFZ,ENCBS655ARO (rep. 2),"ENCFF822OCY, ENCFF104TOM"
112,HeLa-S3,H3K36me3,ENCBS075PNA (rep. 1),"ENCFF317FFS, ENCFF305UYI"
113,HeLa-S3,H3K36me3,ENCBS655ARO (rep. 2),"ENCFF008RRT, ENCFF870FDA"
